timestamp,mid_price,spread,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,imbalance
40,233.77322012925282,1.6572867411622667,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,,,,,234.60186349983397,1.0,234.85644067799296,1.0,235.36296916830435,1.0,243.4865353880199,1.0,250.625,2.0,-0.3333333333333333
41,238.2155560733458,10.541958629348187,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,231.90662870309146,1.0,,,243.4865353880199,1.0,250.625,2.0,250.86152157944994,2.0,,,,,-0.1111111111111111
42,250.86152157944994,0.0,236.82765715489413,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,231.90662870309146,1.0,,,,,,,,,,,1.0
43,251.48867538339857,2.7565844575566985,250.11038315462022,1.0,236.82765715489413,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,252.86696761217692,1.0,,,,,,,,,0.6666666666666666
44,251.69558883657692,2.342757551200009,250.5242100609769,1.0,250.11038315462022,1.0,236.82765715489413,1.0,232.9445767586717,1.0,232.28033638416565,1.0,252.86696761217692,1.0,253.7105840827372,1.0,,,,,,,0.42857142857142855
45,251.79861110852949,2.136713007294901,250.73025460488202,1.0,250.5242100609769,1.0,250.11038315462022,1.0,236.82765715489413,1.0,232.9445767586717,1.0,252.86696761217692,1.0,253.7105840827372,1.0,253.91940101245467,1.0,,,,,0.25
46,251.79861110852949,2.136713007294901,250.73025460488202,1.0,250.5242100609769,1.0,250.11038315462022,1.0,236.82765715489413,1.0,232.9445767586717,1.0,252.86696761217692,1.0,253.7105840827372,1.0,253.91940101245467,1.0,,,,,0.25
47,252.27568124710626,2.869805671261844,250.84077841147536,1.0,250.73025460488202,1.0,250.5242100609769,1.0,250.11038315462022,1.0,236.82765715489413,1.0,253.7105840827372,1.0,253.91940101245467,1.0,254.01543686112626,1.0,,,,,0.25
48,252.57704201979163,2.2670841258911594,251.44349995684604,1.0,250.84077841147536,1.0,250.73025460488202,1.0,250.5242100609769,1.0,250.11038315462022,1.0,253.7105840827372,1.0,253.91940101245467,1.0,254.01543686112626,1.0,254.6215166248491,1.0,,,0.1111111111111111
49,252.7272546681749,1.9666588291246114,251.7439252536126,1.0,251.44349995684604,1.0,250.84077841147536,1.0,250.73025460488202,1.0,250.5242100609769,1.0,253.7105840827372,1.0,253.91940101245467,1.0,254.01543686112626,1.0,254.6215166248491,1.0,254.92562103808945,1.0,0.0
50,243.32758042070446,20.766007324065498,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,231.90662870309146,1.0,,,253.7105840827372,1.0,253.91940101245467,1.0,254.01543686112626,1.0,254.6215166248491,1.0,254.92562103808945,1.0,-0.1111111111111111
51,243.08425284028377,3.015706194462382,241.57639974305258,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,231.90662870309146,1.0,244.59210593751496,1.0,253.7105840827372,1.0,253.91940101245467,1.0,254.01543686112626,1.0,254.6215166248491,1.0,0.0
52,243.08425284028377,3.015706194462382,241.57639974305258,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,231.90662870309146,1.0,244.59210593751496,1.0,253.7105840827372,1.0,253.91940101245467,1.0,254.01543686112626,1.0,254.6215166248491,1.0,0.0
53,248.09895818395086,13.045116881796531,241.57639974305258,1.0,241.26467324949897,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,254.6215166248491,1.0,254.92562103808945,1.0,255.05672884746306,1.0,,,,,0.25
54,255.05672884746306,0.0,241.57639974305258,1.0,241.26467324949897,1.0,232.9445767586717,1.0,232.28033638416565,1.0,232.02965139323905,1.0,,,,,,,,,,,1.0
55,255.8218990340054,3.295142739972988,254.17432766401893,1.0,241.57639974305258,1.0,241.26467324949897,1.0,232.9445767586717,1.0,232.28033638416565,1.0,257.4694704039919,1.0,,,,,,,,,0.6666666666666666
56,258.2146284950754,0.0,254.96410096713944,1.0,254.17432766401893,1.0,241.57639974305258,1.0,241.26467324949897,1.0,232.9445767586717,1.0,,,,,,,,,,,1.0
57,258.2146284950754,0.0,254.96410096713944,1.0,254.17432766401893,1.0,241.57639974305258,1.0,241.26467324949897,1.0,232.9445767586717,1.0,,,,,,,,,,,1.0
