run_number,algorithm,total_return_pct,avg_spread_bps,information_ratio,adverse_selection_rate,max_drawdown,total_volume_traded,spread_efficiency,toxicity_rate,total_trades,spread_volatility,inventory_volatility,avg_toxicity_score
6,smart_threshold,0.5262805747227484,65.405675,0.5876755243400775,0.36619718309859156,0.022329018358430316,226,0.008046405372664503,0.36619718309859156,142,7.547463645614664,29.40559087996703,0.6042587230179394
6,ml_ensemble,1.6396124070694018,61.423282103499034,1.121168083962539,0.3148558758314856,0.025376180069253584,711,0.026693663231909904,0.3148558758314856,451,5.70588352165384,20.968070369015837,0.6042167129533372
7,baseline,0.6769806554997482,60.385625,0.7339917037389894,0.3163841807909605,0.011610401593082137,278,0.011210957169024056,0.3163841807909605,177,4.627124132155415,9.916753450600654,0.6041822561888562
7,linear_micro,0.4505664098974238,60.656338278833225,0.6338174899984732,0.3474576271186441,0.007338200771360934,182,0.00742818347896636,0.3474576271186441,118,3.931162715483603,13.274714460205916,0.6042067396463988
7,linear_adaptive,0.2610456948776818,62.301137645785644,0.4251047678125408,0.3076923076923077,0.013158938744715597,104,0.004190063050884597,0.3076923076923077,65,2.766050211625266,12.917213321765649,0.6042330258739192
7,profit_optimizer,2.3285917013255775,54.980241800326546,1.3197124787112895,0.3293718166383701,0.019849321889369248,946,0.04235324591300264,0.3293718166383701,589,2.54355353245369,15.612059313236035,0.6041448233391974
7,smart_threshold,0.29408648125466286,62.7883125,0.5052233303106896,0.2962962962962963,0.01033597332415897,122,0.00468377743476802,0.2962962962962963,81,3.8051078494694144,11.374216280693805,0.6042523405776388
7,ml_ensemble,1.7476563411683799,66.89390612352476,1.0715730386191704,0.29894736842105263,0.016570910824121703,755,0.02612579295251794,0.29894736842105263,475,8.82450587754622,28.505086826740243,0.6042951145533063
8,baseline,1.1439042038321245,60.81875,1.0217620489870276,0.30448717948717946,0.009001428758602298,468,0.018808413586798883,0.30448717948717946,312,4.991473198114961,9.113531916880524,0.6042112985196941
8,linear_micro,0.6014601355542437,69.89328779209937,0.5511588240477421,0.3116883116883117,0.04909109447927538,239,0.008605406249357064,0.3116883116883117,154,13.98915933633294,41.746436063453366,0.6042642914428156
8,linear_adaptive,0.1970559452543874,61.91327696321879,0.39948281159757426,0.3384615384615385,0.02518816790387945,102,0.003182773629821818,0.3384615384615385,65,2.8049605926226917,11.715989074764453,0.6042195387057856
8,profit_optimizer,1.3165347954847029,55.912846209876825,0.9743853783379729,0.3035230352303523,0.01780971382769561,581,0.023546195279397907,0.3035230352303523,369,2.584683239779474,19.239732222668795,0.6041461763337633
8,smart_threshold,0.166380126699317,63.0928,0.316307980038196,0.35555555555555557,0.031476777974022714,68,0.0026370699461636987,0.35555555555555557,45,4.4692516890414655,12.881073091943856,0.604247423597866
8,ml_ensemble,1.7743667876667368,59.350228432166915,1.1534002868264772,0.34801762114537443,0.012318685783479014,743,0.02989654521203253,0.34801762114537443,454,5.550265952081138,19.4115961219061,0.6041803373140653
9,baseline,2.1782057246127584,61.005,1.2663536997979878,0.33639705882352944,0.012516950448858961,868,0.03570536389825028,0.33639705882352944,544,7.036743298572146,17.053658727674836,0.6042218193750359
9,linear_micro,0.18796593789991434,65.25965826455904,0.33557837853463585,0.1896551724137931,0.022398101025603797,94,0.0028802776921986145,0.1896551724137931,58,11.26256635391841,29.92201716128109,0.6042290854700659
9,linear_adaptive,0.0038775140738689373,59.3509863728799,0.06938401722445162,0.0,0.0020166396901415548,2,6.533192303676263e-05,0.0,1,0.29523938787251097,0.9997579707109115,0.6041448233391974
9,profit_optimizer,1.465112582821071,55.72907759679958,1.0327726535960773,0.32041343669250644,0.012318710070844221,617,0.02628991266320923,0.32041343669250644,387,2.3669279662323244,18.058862754891294,0.6041476796610589
9,smart_threshold,0.06719836713178218,58.9594,0.24102543871916446,0.3333333333333333,0.00803714413903443,32,0.0011397396705492622,0.3333333333333333,18,3.1012921827038498,6.313552407321888,0.6041590450619337
9,ml_ensemble,1.8216499829470933,60.47887810894617,1.1693557282819766,0.3860369609856263,0.010291044961466605,765,0.03012043278424556,0.3860369609856263,487,5.520325800703912,23.015884058623513,0.6041880690609498
10,baseline,0.974244463204732,59.804375,0.9178638409361267,0.2950191570881226,0.011058519611905366,403,0.016290521608239062,0.2950191570881226,261,5.930292698035655,17.266453920825782,0.6041906723859843
10,linear_micro,0.7282951225683565,66.38459284932932,0.7040753300723913,0.29896907216494845,0.018884499007353277,308,0.010970845663260167,0.29896907216494845,194,10.64239727120808,25.32430830249861,0.6042458139577959
10,linear_adaptive,0.6210932242259659,70.38994562023697,0.3569692298040243,0.3312883435582822,0.051715303587643736,258,0.008823607104015191,0.3312883435582822,163,10.284942863855834,43.19034353880506,0.6042848943732497
10,profit_optimizer,1.5455518095343512,55.490077633342224,0.959659001172835,0.2937219730941704,0.0182765524320168,714,0.02785275990685726,0.2937219730941704,446,3.6179361936344945,20.218613973267306,0.6041502353174613
10,smart_threshold,0.6054387516670534,66.42965,0.46076659274965925,0.36809815950920244,0.06594371079822921,259,0.009113983765789124,0.36809815950920244,163,8.80170817597357,32.52578447939418,0.6042581265781273
10,ml_ensemble,0.8712184881101148,61.0174509480246,0.7867283805210968,0.3117408906882591,0.01199400584353951,382,0.014278185577634654,0.3117408906882591,247,3.180372577744929,21.502009208443756,0.6041776850976218
