timestamp,mid_price,spread,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,imbalance
6823,73.26964657336492,1.0941211534101285,72.72258599665986,1.0,72.06710840181543,1.0,71.97667658686252,1.0,71.85972841477627,1.0,71.7282882349423,1.0,73.81670715006999,1.0,,,,,,,,,0.6666666666666666
6824,73.4332723918574,0.7668695164251602,73.04983763364483,1.0,72.72258599665986,1.0,72.06710840181543,1.0,71.97667658686252,1.0,71.85972841477627,1.0,73.81670715006999,1.0,74.1488823322453,1.0,,,,,,,0.42857142857142855
6825,71.5988329725173,4.4357483551053605,69.38095879496463,1.0,69.32853222169392,1.0,69.30216165533875,1.0,69.28889726046212,1.0,,,73.81670715006999,1.0,74.1488823322453,1.0,74.31447166055969,1.0,,,,,0.14285714285714285
6826,71.63463238900356,1.0739824945877672,71.09764114170967,1.0,69.38095879496463,1.0,69.32853222169392,1.0,69.30216165533875,1.0,69.28889726046212,1.0,72.17162363629744,1.0,73.81670715006999,1.0,74.1488823322453,1.0,74.31447166055969,1.0,,,0.1111111111111111
6827,71.63463238900356,1.0739824945877672,71.09764114170967,1.0,69.38095879496463,1.0,69.32853222169392,1.0,69.30216165533875,1.0,69.28889726046212,1.0,72.17162363629744,1.0,73.81670715006999,1.0,74.1488823322453,1.0,74.31447166055969,1.0,,,0.1111111111111111
6828,71.65240679928898,1.0384336740169147,71.13318996228053,1.0,71.09764114170967,1.0,69.38095879496463,1.0,69.32853222169392,1.0,69.30216165533875,1.0,72.17162363629744,1.0,72.20770944811558,1.0,73.81670715006999,1.0,74.1488823322453,1.0,74.31447166055969,1.0,0.0
6829,70.77629121563103,2.790664841332813,69.38095879496463,1.0,69.32853222169392,1.0,69.30216165533875,1.0,69.28889726046212,1.0,,,72.17162363629744,1.0,72.20770944811558,1.0,72.2256260536833,1.0,73.81670715006999,1.0,74.1488823322453,1.0,-0.1111111111111111
6830,69.28889726046212,0.0,,,,,,,,,,,71.23633710853262,1.0,72.17162363629744,1.0,72.20770944811558,1.0,72.2256260536833,1.0,73.81670715006999,1.0,-1.0
6831,69.0463861200505,1.039333458906924,68.52671939059704,1.0,,,,,,,,,69.56605284950396,1.0,71.23633710853262,1.0,72.17162363629744,1.0,72.20770944811558,1.0,72.2256260536833,1.0,-0.6666666666666666
6832,68.28687587272995,0.0,,,,,,,,,,,69.3225716645307,1.0,69.56605284950396,1.0,71.23633710853262,1.0,72.17162363629744,1.0,72.20770944811558,1.0,-1.0
6833,67.97958493130267,1.0243031380909429,67.4674333622572,1.0,,,,,,,,,68.49173650034814,1.0,69.3225716645307,1.0,69.56605284950396,1.0,71.23633710853262,1.0,72.17162363629744,1.0,-0.6666666666666666
6834,67.82547852417689,0.7160903238393814,67.4674333622572,1.0,67.16382991212703,1.0,,,,,,,68.18352368609658,1.0,68.49173650034814,1.0,69.3225716645307,1.0,69.56605284950396,1.0,71.23633710853262,1.0,-0.42857142857142855
6835,67.74819416100331,0.5615215974922165,67.4674333622572,1.0,67.16382991212703,1.0,67.01157278188676,1.0,,,,,68.02895495974941,1.0,68.18352368609658,1.0,68.49173650034814,1.0,69.3225716645307,1.0,69.56605284950396,1.0,-0.25
6836,67.70831555905067,0.4817643935869569,67.4674333622572,1.0,67.16382991212703,1.0,67.01157278188676,1.0,66.93745681871343,1.0,,,67.94919775584415,1.0,68.02895495974941,1.0,68.18352368609658,1.0,68.49173650034814,1.0,69.3225716645307,1.0,-0.1111111111111111
6837,67.57778244363675,0.22069816275910625,67.4674333622572,1.0,67.16382991212703,1.0,67.1191247530536,1.0,67.01157278188676,1.0,66.93745681871343,1.0,67.6881315250163,1.0,67.94919775584415,1.0,68.02895495974941,1.0,68.18352368609658,1.0,68.49173650034814,1.0,0.0
6838,68.51674310588058,2.098619487246765,67.4674333622572,1.0,67.16382991212703,1.0,67.1191247530536,1.0,67.01157278188676,1.0,66.98963728436495,1.0,69.56605284950396,1.0,71.23633710853262,1.0,72.17162363629744,1.0,72.20770944811558,1.0,72.2256260536833,1.0,0.0
6839,68.34258880127878,2.446928096450364,67.1191247530536,1.0,67.01157278188676,1.0,66.98963728436495,1.0,66.93745681871343,1.0,,,69.56605284950396,1.0,71.23633710853262,1.0,72.17162363629744,1.0,72.20770944811558,1.0,72.2256260536833,1.0,-0.1111111111111111
6840,67.74565315855102,1.5120317483721522,66.98963728436495,1.0,66.93745681871343,1.0,,,,,,,68.5016690327371,1.0,69.56605284950396,1.0,71.23633710853262,1.0,72.17162363629744,1.0,72.20770944811558,1.0,-0.42857142857142855
6841,66.93745681871343,0.0,,,,,,,,,,,67.80162725222935,1.0,68.5016690327371,1.0,69.56605284950396,1.0,71.23633710853262,1.0,72.17162363629744,1.0,-1.0
6842,66.32060350190709,0.0,,,,,,,,,,,66.88493556733265,1.0,67.80162725222935,1.0,68.5016690327371,1.0,69.56605284950396,1.0,71.23633710853262,1.0,-1.0
6843,65.9558401826466,0.5625592122751186,65.67456057650904,1.0,,,,,,,,,66.23711978878416,1.0,66.88493556733265,1.0,67.80162725222935,1.0,68.5016690327371,1.0,69.56605284950396,1.0,-0.6666666666666666
6844,65.9558401826466,0.5625592122751186,65.67456057650904,1.0,,,,,,,,,66.23711978878416,1.0,66.88493556733265,1.0,67.80162725222935,1.0,68.5016690327371,1.0,69.56605284950396,1.0,-0.6666666666666666
